Name,Ubicación,Unidades,Players,Age
EL LABERINTO MÁGICO,I5,1,2--4,6+
EL MERCADO DE LOS LADRONES,N4,1,3--5,10+
EL MORTAL,R8,1,2--6,10+
EL ORÁCULO DE DELFOS,G1,1,2--4,12+
EL PACTO EXP HOMBRES LOBO CASTONEGRO,Q9,1,9--47,10+
EL PADRINO,B3,1,2--5,14+
EL PALE,P2,1,3--6,9-99+
EL PORTAL DE MOLTHAR,R3,1,2--5,10+
EL PRIMERO DE LA CLASE,V8,1,2+,10+
EL PRINCIPITO: HAZME UN PLANETA,F2,1,2--5,8+
EL SEÑOR DE LOS ANILLOS 2º ED,C2,1,2--5,13+
EL SÉPTIMO HÉROE,Q2,1,3--5,10+
EL SHERIFF DE NOTTINGHAM,E4,1,3--5,13+
EL SÍMBOLO ARCANO,C4,2,1--8,13+
EL SONETO,F2,1,2--4,12+
EL TESORERO,R4,1,2--5,12+
EL TESORO DE ISLA TORTUGA,Q2,1,2--5,10+
EL ÚLTIMO BANQUETE,L3,1,6--25,10+
EL VALLE DE LOS MERCADERES,N3,1,2--4,10+
EL ZORRO EN EL BOSQUE,M2,1,2,10+
EMPORION,N4,1,2--4,12+
EN BUSCA DEL IMPERIO COBRA,CLASICOS 2,1,2--4,8+
EN TU CASA O DONDE SEA,Q2,1,4--7,18+
ENCONTRAR Y ELIMINAR,V6,1,2,6+
ENGLISH TROLLEY DATA BANK A FUN WAY INTO ENGLISH,O0,1,2--6,12+
ENSALADA DE BICHOS,R2,1,2--6,6+
ENTERN!,R7,1,2,10+
EPIC JUEGO DE CARTAS,R7,1,2--4,13+
ÉRASE UNA VEZ 3º EDICIÓN,N5,1,2--4,4+
ERIZOS A LA CARRERA,V8,1,3--5,6+
ESCAPE THE ROOM: MISTERIO EN LA MANSIÓN DEL OBSERVATORIO,I3,1,3--8,10+
ESCAPE THE ROOM 2: EL SECRETO DEL DOCTOR GRAVELY,I3,1,3--8,14+
ESCONDITE EN LA ISLA JR,K5,1,1,6+
ESCUELA DE PINGÜINOS,V7,1,2--4,6+
ESPADA NEGRA JUEGO DE MESA,R3,1,2--8,14+
ESPAÑA 20,C5,1,2,13+
EUPHORIA,B5,1,2--6,13+
EUREKA!,R6,1,1--5,10+
EVO,E5,1,2--4,8+
EXPANSIÓN HUIDA SILVER CITY (DENTRO DEL BÁSICO),D3,1,1--4,12+
EXPANSION SMALLWORLD UNDERGROUND 6 PLAYERS,EPP,1,2--6,8+
EXPLOIDING KITTENS,Q5,2,2--5,7+
EXPLOIDING KITTENS NSFW EDITION,Q5,1,2--5,30+
"EXPLORADORES, AVENTÚRATE EN LO DESCONOCIDO",M4,1,2,10+
EXPLORERS OF THE LOST VALLEY,R3,2,2--4,10+
FABULA REGNUM,M4,1,2--4,10+
FAKES,Q7,1,3,12+
FAMIGLIA,R5,1,2,10+
FANTASIA S.A.,N4,1,2--5,12+
FANTASMA BLITZ,V6,2,2--8,8+
FARAON,K5,1,2--4,6+
FAST FLIP,Q4,1,2--8,7+
FAST FOOD FEAR,R8,2,2--6,8+
FAUNA,I1,1,2--6,10+
FEELINKS,K1,1,3--8,8+
FELIX EL GATO ENCERRADO,Q5,1,3--5,8+
FEMINISMOS REUNIDOS,O5,1,2--99,14+
FIERCE NIGHT,EPP,1,2--99,18+
FILM QUIZ,Q2,1,2--99,3+
FINAL TOUCH,J3,1,2--4,8+
FINCA,D5,1,2--4,10+
FIREFLY,C4,1,1--5,13+
FIREFLY: EXPASION PIRATAS Y CAZARRECOMPENSAS,C4,1,2--6,13+
FISHING SERIES,X5,1,1+,3+
FLAP FLAP,W9,1,2--4,5+
FLICK EM UP! TIERRA DE FORAJIDOS,E4,1,2--10,7+
FLUXX,R4,2,2--6,8+
FLUXX CTHULHU,R4,1,2--6,14+
FLUXX ZOMBI,R4,1,2--6,8+
FLYNN EL PIRATA,W8,2,2--5,5+
FOR THE PEOPLE: LA GUERRA DE SUCESIÓN 1861-1865,A2,1,2,14+
FOREST,R7,2,2--5,6+
FORMULA D,G5,1,2--10,14+
FROG MENÚ,Q7,1,2--4,8+
FUERZA DE DRAGON,W7,2,2--4,5+
FUJI FLUSH,R5,2,3--8,7+
FUNGI,Q3,2,2,10+
GALAXIA LA CONQUISTA,L5,2,2--4,12+
GALAXIA: EXPANSIÓN LA TORMENTA (DENTRO DEL BÁSICO),L5,1,2--4,12+
GALAXIA: EXPANSION REBELDES CONTRA IMPERIO (DENTRO DEL BÁSICO),L5,1,2--4,12+
GALEONES CAÑONES Y DOBLONES,K1,1,2--5,8+
GALLETAS,L2,2,2--5,5+
GAME OF LIVE JUNIOR,X7,1,2--4,5+
GAME OF TRAINS,R3,1,2--4,8+
GAME OF TROLLS,R5,1,8--25,10+
GARDENS,F2,1,2--4,10+
GEOPICNIC,U9,1,2--99,5+
GESTOS,W5,1,4+,8+
GIFT TRAP,N0,1,3--8,6+
GLOBALL,Q4,1,2--6,7+
GO,CLASICOS 4,1,2,12+
GOA,D5,1,2--4,12+
GODZILLA TOTAL WAR,M3,1,3--12,8+
GRAN FORSETI,R3,1,4--6,8+
GRAN HERMANO,O3,1,4--6,16+
GRAN HOTEL AUSTRIA,D4,1,2--4,12+
GRAVITY WARFARE,S9,1,2--6,14+
GUACAMOLE,W6,1,2--4,6+
GUERRA FRÍA CÍA VS KGB,Q2,1,2,12+
GUILDS,E3,1,2--4,12+
GUILDS OF LONDON,G4,1,1--4,10+
HAMBURGUESA A LA MESA,X5,1,2--4,3+
HANABI,Q4,2,2--5,8+
HARU ICHIBAN,I3,1,2,8+
HATFLINGS!,M3,1,2,10+
HEDBANZ,V7,1,2--6,7+
HELL´S RISING,B1,1,2--4,12+
HELLO SUNSHINE!,W5,1,1,1+
HELP ME!,Q2,1,2--6,7+
HERENCIA DE TIA AGATA,CLASICOS 2,1,2--4,9+
HEX,CLASICOS 4,1,2,12+
HEXAFUTBOL,L5,1,2--4,8+
HEXCALIBUR,F1,1,2,10+
HIPPO,R7,2,2--4,6+
HISTORIAS CORRIENTES,A4,1,2--5,13+
HIT Z ROAD,D1,1,1--4,12+
HIVE,Q3,1,2,8+
HIVE EXPANSIÓN: LADYBUG,Q3,1,2,8+
HIVE EXPANSIÓN: MOSQUITO,Q3,1,2,9+
HIVE EXPANSIÓN: PILLBUG (BICHO-BOLA),Q3,1,2,9+
"HOGAR, DULCE HOGAR",L1,1,2--4,7+
HOLMES SHERLOCK & MYCROFT,S8,1,2,10+
HOMBRES LOBO DE CASTRONEGRO,R6,2,8--18,10+
HOME SWEET HOME,Q4,1,2--4,8+
HONSHU,R8,1,2--5,8+
HOSTAGE NEGOTIATOR,K5,1,1,13+
HOSTAGE NEGOTIATOR EXPANSIÓN 1 (DENTRO DEL BÁSICO),K5,1,1,13+
HOSTAGE NEGOTIATOR EXPANSIÓN 2 (DENTRO DEL BÁSICO),K5,1,1,13+
HOSTAGE: EXPANSIÓN 3 Y 4 (DENTRO DEL CLASICO),K5,1,1,15+
HOTEL DELUXE,P2,1,2--4,8+
HUH,V9,1,2--4,5+
HUIDA DE SILVER CITY,D3,1,1--4,12+
